concept,definition,labels,subjects,sources
"Sentencias iterativas","Son estructuras de control que permiten repetir un bloque de código varias veces, como los bucles (loops) while y for","Control de Flujo","Fundamentos Filosóficos de la computación ","example.com"
"Sentencias selectivas","Son estructuras de control que permiten tomar decisiones y ejecutar diferentes bloques de código según una condición, como las sentencias if, else, switch, etc","Control de Flujo","Fundamentos Filosóficos de la computación ","example.com"
"Funciones (programación)","Son bloques de código que realizan una tarea específica y pueden ser llamados desde otras partes del programa","Funciones y Modularidad, Programación Orientada a Objetos","Fundamentos Filosóficos de la computación ","example.com"
"Arreglos","Son estructuras de datos que almacenan una colección de elementos del mismo tipo, accesibles mediante un índice o posición","Estructura de Datos Básicas","Fundamentos Filosóficos de la computación ","example.com"
"Diccionarios","En el contexto de la programación, un diccionario es una estructura de datos que almacena elementos en pares clave-valor. Cada clave se mapea a un valor, lo que permite recuperar el valor rápidamente usando la clave","Estructura de Datos Básicas","Fundamentos Filosóficos de la computación ","example.com"
"Arbol","Un árbol es una estructura de datos no lineal compuesta por nodos conectados por aristas o enlaces. Tiene una estructura jerárquica y puede ser utilizado para representar una variedad de problemas","Grafos y Árboles, Arboles y grafos","Inteligencia artificial","example.com"
"Algoritmo genético","Es una técnica de optimización y búsqueda inspirada en el proceso evolutivo de selección natural. Se utiliza para encontrar soluciones aproximadas a problemas de optimización mediante la aplicación de principios evolutivos, como la selección, el cruce y la mutación, en una población de posibles soluciones","Algoritmos de Optimización","Inteligencia artificial","example.com"
"Algoritmo evolutivo","Es una variante de los algoritmos genéticos que también se basa en principios de evolución para resolver problemas de optimización y búsqueda","Algoritmos de Optimización","Inteligencia artificial","example.com"
"Optimización","Es el proceso de encontrar la mejor solución o resultado posible entre muchas alternativas posibles en un problema dado","Algoritmos de Optimización","Inteligencia artificial","example.com"
"Optimización por enjambre de partículas","Es un método de optimización basado en el comportamiento social de los enjambres de partículas. Cada partícula representa una posible solución y busca iterativamente la mejor solución moviéndose en el espacio de búsqueda","Algoritmos de Optimización","Inteligencia artificial","example.com"
"Optimización por evolución diferencial","Es un algoritmo de optimización basado en la evolución diferencial, que utiliza operadores de cruza y mutación para mejorar la calidad de las soluciones a lo largo de las iteraciones","Algoritmos de Optimización","Inteligencia artificial","example.com"
"Optimización por sistemas inmunes artificiales","Es una técnica de optimización inspirada en el sistema inmunitario humano, donde se utilizan conceptos de reconocimiento y respuesta inmunitaria para resolver problemas","Algoritmos de Optimización","Inteligencia artificial","example.com"
"Optimización por Colonia de abejas","Es un método de optimización que se basa en el comportamiento de las colonias de abejas para encontrar soluciones óptimas en un espacio de búsqueda","Algoritmos de Optimización","Inteligencia artificial","example.com"
"Optimización por forrajeo de bacterias","Es un enfoque de optimización que se inspira en el comportamiento de forrajeo de las bacterias para encontrar soluciones óptimas en un espacio de búsqueda","Algoritmos de Optimización","Inteligencia artificial","example.com"
"Optimización por banco de peces","Es un algoritmo de optimización basado en el comportamiento de los peces que buscan alimentos y se agrupan en bancos para aumentar su eficiencia","Algoritmos de Optimización","Inteligencia artificial","example.com"
"Búsqueda tabú","Es una técnica de búsqueda que permite explorar soluciones cercanas a una solución actual, incluso si no son óptimas, con el objetivo de escapar de óptimos locales y encontrar soluciones mejores","Algoritmos de Optimización","Inteligencia artificial","example.com"
"Pruebas paramétricas","Son pruebas estadísticas que asumen que los datos siguen una distribución específica y utilizan parámetros de población para realizar inferencias","Análisis de Algoritmos","Inteligencia artificial","example.com"
"Pruebas NO-Paramétricas","Son pruebas estadísticas que no hacen suposiciones sobre la distribución subyacente de los datos y se basan en el ordenamiento de los datos para realizar inferencias","Análisis de Algoritmos","Inteligencia artificial","example.com"
"Prueba de signo","Es una prueba no paramétrica que se utiliza para determinar si hay una diferencia significativa entre dos condiciones o muestras relacionadas","Análisis de Algoritmos","Inteligencia artificial","example.com"
"Prueba de Wilcoxon","Es una prueba no paramétrica que se utiliza para comparar dos muestras relacionadas y determinar si hay una diferencia significativa entre ellas","Análisis de Algoritmos","Inteligencia artificial","example.com"
"Prueba de Friedman","Es una prueba no paramétrica utilizada para comparar tres o más muestras relacionadas y determinar si hay diferencias significativas entre ellas","Análisis de Algoritmos","Inteligencia artificial","example.com"
"Agente","En el contexto de la inteligencia artificial y la computación, un agente es una entidad que puede percibir su entorno y actuar en él para lograr un objetivo o resolver un problema","Agentes Inteligentes","Inteligencia artificial","example.com"
"Agente reactivo simple","Es un tipo de agente en inteligencia artificial que toma decisiones basándose únicamente en la percepción inmediata del entorno, sin mantener una memoria o estado interno","Agentes Inteligentes","Inteligencia artificial","example.com"
"Agente inteligente","Es un tipo de agente en inteligencia artificial que utiliza su conocimiento y experiencia para tomar decisiones más informadas y alcanzar sus objetivos de manera más eficiente","Agentes Inteligentes","Inteligencia artificial","example.com"
"Búsqueda no informada","Es un tipo de búsqueda en inteligencia artificial en la que el agente explora el espacio de búsqueda sin utilizar información adicional sobre el problema más allá de la información de las acciones disponibles y el estado actual del entorno","Busqueda Informada","Inteligencia artificial","example.com"
"Búsqueda en amplitud","Es una estrategia de búsqueda utilizada en inteligencia artificial y teoría de grafos, donde se explora el grafo nivel por nivel, desde el nodo inicial, expandiendo todos los nodos vecinos antes de avanzar a los siguientes niveles","Busqueda Informada","Inteligencia artificial","example.com"
"Búsqueda en profundidad","Es una estrategia de búsqueda en inteligencia artificial y teoría de grafos, donde se explora el grafo siguiendo una rama en particular hasta que no hay más nodos por explorar, y luego retrocede y explora otra rama","Busqueda Informada","Inteligencia artificial","example.com"
"Búsqueda con información","También conocida como búsqueda informada o heurística, es una estrategia de búsqueda que utiliza información adicional sobre el problema para guiar la búsqueda hacia las soluciones más prometedoras","Busqueda Informada","Inteligencia artificial","example.com"
"Diagrama entidad relación","Es una herramienta para el modelado de datos que representa las entidades, atributos y relaciones entre entidades en una base de datos","Modelo de Datos, Bases de Datos","Bases de datos","example.com"
"Modelo relacional","Es un modelo de datos que utiliza tablas para organizar y representar datos en una base de datos, donde cada tabla representa una entidad y las relaciones entre entidades se establecen mediante claves","Modelo de Datos, Bases de Datos","Bases de datos","example.com"
"SQL","Es un lenguaje de programación utilizado para administrar y consultar bases de datos relacionales","Consultas y Operaciones, Bases de Datos","Bases de datos","example.com"
"NoSQL","Es un término que se refiere a una amplia categoría de sistemas de bases de datos que no utilizan el modelo relacional tradicional. NoSQL significa Not Only SQL y se utiliza para bases de datos que son más flexibles y escalables en comparación con las bases de datos relacionales","Consultas y Operaciones, Bases de Datos","Bases de datos","example.com"
"Diccionario de datos","Es una colección de metadatos que describe los datos y su estructura en una base de datos","Diccionario y Estructuras, Bases de Datos","Bases de datos","example.com"
"Diagrama relacional normalizado","Es un diagrama que muestra cómo se organizan las tablas en una base de datos relacional utilizando la normalización para evitar redundancia y mejorar la eficiencia y consistencia de los datos","Modelo de Datos, Bases de Datos","Bases de datos","example.com"
"Base de datos","Es un conjunto organizado de datos que se almacenan y se pueden acceder electrónicamente desde un sistema de computadora","Sistemas de Gestión de Bases de Datos, Bases de Datos","Bases de datos","example.com"
"Consultas","Son instrucciones o comandos que se utilizan para recuperar, modificar o manipular datos almacenados en una base de datos","Consultas y Operaciones, Bases de Datos","Bases de datos","example.com"
"Query","Es un término comúnmente utilizado para referirse a una consulta en bases de datos","Consultas y Operaciones, Bases de Datos","Bases de datos","example.com"
"Sistema gestor de base de datos","Es un software que permite administrar, organizar y manipular una base de datos","Sistemas de Gestión de Bases de Datos, Bases de Datos","Bases de datos","example.com"
"Requerimientos para un Sistema gestor de bases de datos","Son las especificaciones y características que un DBMS debe cumplir para satisfacer las necesidades de una aplicación o empresa","Sistemas de Gestión de Bases de Datos, Bases de Datos","Bases de datos","example.com"
"Sentencias","En el contexto de bases de datos, son instrucciones escritas en lenguajes como SQL para realizar operaciones en la base de datos","Consultas y Operaciones, Bases de Datos","Bases de datos","example.com"
"Respaldo total","Es una copia completa de toda la base de datos y sus datos, que se realiza para proteger contra pérdidas y fallos","Respaldo y Copias, Bases de Datos","Bases de datos","example.com"
"Respaldo incremental","Es una copia de seguridad que solo incluye los cambios realizados desde la última copia de seguridad, lo que la hace más rápida y eficiente que una copia de seguridad completa","Respaldo y Copias, Bases de Datos","Bases de datos","example.com"
"Respaldo diferencial","Es una copia de seguridad que incluye todos los cambios realizados desde la última copia de seguridad completa, lo que la hace más rápida que una copia de seguridad completa, pero más grande que una copia de seguridad incremental","Respaldo y Copias, Bases de Datos","Bases de datos","example.com"
"Tablas","Son estructuras de datos en una base de datos relacional que contienen datos organizados en filas y columnas","Sistemas de Gestión de Bases de Datos, Bases de Datos","Bases de datos","example.com"
"Altas","Son operaciones que se utilizan para agregar nuevos registros o filas a una tabla de base de datos","Sistemas de Gestión de Bases de Datos, Bases de Datos","Bases de datos","example.com"
"Bajas","Son operaciones que se utilizan para eliminar registros o filas existentes de una tabla de base de datos","Sistemas de Gestión de Bases de Datos, Bases de Datos","Bases de datos","example.com"
"Modificaciones","Son operaciones que se utilizan para actualizar registros existentes en una tabla de base de datos","Sistemas de Gestión de Bases de Datos, Bases de Datos","Bases de datos","example.com"
"Consultas básicas","Son consultas simples que se utilizan para recuperar datos de una base de datos sin utilizar operaciones complejas o filtros avanzados","Consultas y Operaciones, Bases de Datos","Bases de datos","example.com"
"Consultas complejas","Son consultas que involucran múltiples tablas, operaciones matemáticas, funciones agregadas o filtros avanzados para obtener información más detallada y específica de la base de datos","Consultas y Operaciones, Bases de Datos","Bases de datos","example.com"
"Consultas anidadas","Son consultas dentro de otras consultas, lo que permite realizar operaciones más sofisticadas y avanzadas en la base de datos","Consultas y Operaciones, Bases de Datos","Bases de datos","example.com"
"Vistas","Son consultas almacenadas que actúan como tablas virtuales en una base de datos. Permiten simplificar y reutilizar consultas complejas y mejorar la seguridad al controlar el acceso a ciertos datos","Consultas y Operaciones, Bases de Datos","Bases de datos","example.com"
"Disparadores","Son procedimientos almacenados que se ejecutan automáticamente en respuesta a ciertos eventos, como una inserción, actualización o eliminación de datos en una tabla","Consultas y Operaciones, Bases de Datos","Bases de datos","example.com"
"Triggers","Son procedimientos almacenados que se ejecutan automáticamente en respuesta a ciertos eventos, como una inserción, actualización o eliminación de datos en una tabla","Consultas y Operaciones, Bases de Datos","Bases de datos","example.com"
"Controlador","Es un software que permite que una aplicación se comunique con una base de datos, actuando como un intermediario entre la aplicación y el sistema gestor de base de datos","Manejo de Memoria y Almacenamiento, Bases de Datos","Bases de datos","example.com"
"Driver","Es un software que permite que una aplicación se comunique con una base de datos, actuando como un intermediario entre la aplicación y el sistema gestor de base de datos","Manejo de Memoria y Almacenamiento, Bases de Datos","Bases de datos","example.com"
"Administrador de base de datos","Es el profesional responsable de la gestión, configuración, seguridad y rendimiento de una base de datos","Sistemas de Gestión de Bases de Datos, Bases de Datos","Bases de datos","example.com"
"DBA","Es el profesional responsable de la gestión, configuración, seguridad y rendimiento de una base de datos","Sistemas de Gestión de Bases de Datos, Bases de Datos","Bases de datos","example.com"
"Diagrama entidad relacion extendido","Es una versión más avanzada del diagrama entidad-relación que incluye conceptos adicionales, como especialización, generalización, herencia y más","Modelo de Datos, Bases de Datos","Bases de datos","example.com"
"Recuperación de la base de datos","Es el proceso de restaurar una base de datos a un estado anterior después de un fallo o pérdida de datos","Mantenimiento de la base de datos, Bases de Datos","Bases de datos","example.com"
"Administración de usuarios","Es el proceso de gestionar y controlar los permisos y accesos de los usuarios a la base de datos","Mantenimiento de la base de datos, Bases de Datos","Bases de datos","example.com"
"Mantenimiento de la base de datos","Son las actividades regulares que se llevan a cabo para asegurar el correcto funcionamiento, rendimiento y seguridad de la base de datos","Mantenimiento de la base de datos, Bases de Datos","Bases de datos","example.com"
"Auditoría","Es el proceso de rastrear y registrar las actividades de los usuarios en la base de datos con fines de seguridad y cumplimiento","Seguridad y Control, Bases de Datos","Bases de datos","example.com"
"Permisos","Son derechos otorgados a los usuarios para acceder, modificar o eliminar datos específicos en una base de datos","Seguridad y Control, Bases de Datos","Bases de datos","example.com"
"Autenticación de usuarios","Es el proceso de verificar la identidad de un usuario antes de permitirle el acceso a la base de datos","Seguridad y Control, Bases de Datos","Bases de datos","example.com"
"Concurrencia","Es la capacidad de varios usuarios para acceder y modificar la base de datos al mismo tiempo","Seguridad y Control, Bases de Datos","Bases de datos","example.com"
"Transacciones","Son secuencias de operaciones que se ejecutan como una sola unidad lógica de trabajo. Se aseguran de que todas las operaciones se completen correctamente o que se deshagan en su totalidad si ocurre algún error","Seguridad y Control, Bases de Datos","Bases de datos","example.com"
"Bloqueos","Son mecanismos utilizados para controlar el acceso concurrente a los datos y evitar conflictos entre transacciones","Seguridad y Control, Bases de Datos","Bases de datos","example.com"
"Bases de datos distribuidas","Son bases de datos que se encuentran distribuidas en varios servidores o ubicaciones físicas, pero que actúan como una sola base de datos lógica","Bases de Datos Distribuidas, Bases de Datos","Bases de datos","example.com"
"Colección","Es una estructura de datos que agrupa varios elementos en un solo objeto","Estructura de Datos Básicas, Programación Orientada a Objetos","Estructura de datos","example.com"
"Contenedores de datos","Son estructuras que permiten almacenar y organizar conjuntos de datos, como listas, arreglos o diccionarios","Estructura de Datos Básicas, Programación Orientada a Objetos","Estructura de datos","example.com"
"Programación orientada a objetos","Es un paradigma de programación que utiliza clases y objetos para organizar y modular el código","Programación Orientada a Objetos","Estructura de datos","example.com"
"Clases","Son plantillas que definen la estructura y el comportamiento de los objetos en la programación orientada a objetos","Programación Orientada a Objetos","Estructura de datos","example.com"
"Objetos","Son instancias individuales de una clase, que contienen datos y comportamiento definidos por la clase","Programación Orientada a Objetos","Estructura de datos","example.com"
"Clase administradora","En el contexto de la programación orientada a objetos, una clase administradora es aquella que tiene la responsabilidad de gestionar y coordinar el comportamiento de otras clases","Programación Orientada a Objetos","Estructura de datos","example.com"
"Apuntadores","Son variables especiales en la programación que almacenan direcciones de memoria de otras variables. Permiten manipular y acceder a los datos a través de dichas direcciones","Manejo de Memoria y Almacenamiento","Estructura de datos","example.com"
"Pointers","Son variables especiales en la programación que almacenan direcciones de memoria de otras variables. Permiten manipular y acceder a los datos a través de dichas direcciones","Manejo de Memoria y Almacenamiento","Estructura de datos","example.com"
"Memoria","Es el espacio de almacenamiento donde se guardan los datos y programas en un ordenador","Manejo de Memoria y Almacenamiento","Estructura de datos","example.com"
"Campo","En el contexto de las bases de datos, un campo es una columna de una tabla que almacena un tipo específico de datos","Bases de Datos","Estructura de datos","example.com"
"Registro","En el contexto de las bases de datos, un registro es una fila de una tabla que contiene datos relacionados y correspondientes a cada campo de la tabla","Bases de Datos","Estructura de datos","example.com"
"Campos de longitud fija","Son campos de una tabla de base de datos que tienen un tamaño predefinido y constante","Bases de Datos","Estructura de datos","example.com"
"Campos de longitud variable","Son campos de una tabla de base de datos cuyo tamaño puede variar según la cantidad de datos almacenados en ellos","Bases de Datos","Estructura de datos","example.com"
"Registros de longitud fija","Son registros de una tabla de base de datos en los que cada campo tiene un tamaño constante y predefinido","Bases de Datos","Estructura de datos","example.com"
"Registros de longitud variable","Son registros de una tabla de base de datos en los que al menos un campo tiene un tamaño variable","Bases de Datos","Estructura de datos","example.com"
"Archivos de acceso secuencial","Son archivos en los que los datos se leen o escriben en orden secuencial, uno tras otro, desde el principio hasta el final del archivo","Bases de Datos","Estructura de datos","example.com"
"Archivos de acceso aleatorio","Son archivos en los que se puede acceder directamente a cualquier registro sin tener que leer los registros anteriores","Bases de Datos","Estructura de datos","example.com"
"Pila","Es una estructura de datos que sigue el principio de último en entrar, primero en salir (LIFO). Los elementos se agregan y eliminan desde el mismo extremo","Estructura de Datos Básicas","Estructura de datos","example.com"
"Stack","Es una estructura de datos que sigue el principio de último en entrar, primero en salir (LIFO). Los elementos se agregan y eliminan desde el mismo extremo","Estructura de Datos Básicas","Estructura de datos","example.com"
"Cola","Es una estructura de datos que sigue el principio de primero en entrar, primero en salir (FIFO). Los elementos se agregan al final y se eliminan desde el principio","Estructura de Datos Básicas","Estructura de datos","example.com"
"Queue","Es una estructura de datos que sigue el principio de primero en entrar, primero en salir (FIFO). Los elementos se agregan al final y se eliminan desde el principio","Estructura de Datos Básicas","Estructura de datos","example.com"
"Listas simplemente ligadas","Son estructuras de datos enlazadas donde cada elemento contiene un puntero al siguiente elemento de la lista","Estructura de Datos Básicas","Estructura de datos","example.com"
"Simply Linked lists","Son estructuras de datos enlazadas donde cada elemento contiene un puntero al siguiente elemento de la lista","Estructura de Datos Básicas","Estructura de datos","example.com"
"Arboles binarios","Son estructuras de datos jerárquicas en las que cada nodo puede tener hasta dos nodos hijos, generalmente llamados izquierdo y derecho","Grafos y Árboles","Estructura de datos","example.com"
"Indices","Son estructuras de datos utilizadas en bases de datos para mejorar la velocidad de búsqueda y recuperación de datos","Indices","Estructura de datos","example.com"
"Indexación","Es el proceso de crear y gestionar índices en una base de datos","Indices","Estructura de datos","example.com"
"Dispersión","Es una técnica utilizada para mapear datos en una tabla hash, lo que permite una búsqueda rápida de información en función de una clave","Indices","Estructura de datos","example.com"
"Serialización","Es el proceso de convertir objetos o datos en un formato que pueda ser almacenado o transmitido, generalmente en forma de secuencia de bytes","Representación de Datos, Seguridad y Control","Estructura de datos","example.com"
"Encriptación","Es el proceso de codificar datos para que solo las personas autorizadas puedan leerlos","Seguridad y Control","Estructura de datos","example.com"
"Compresión","Es el proceso de reducir el tamaño de los datos para ocupar menos espacio de almacenamiento o para facilitar la transmisión de datos","Seguridad y Control","Estructura de datos","example.com"
"Arboles binarios paginados","Son estructuras de datos que combinan las características de los árboles binarios y la paginación. Se utilizan en sistemas de bases de datos y almacenamiento para optimizar la búsqueda y recuperación de datos","Grafos y Árboles","Estructura de datos","example.com"
"Paginación","Es una técnica de gestión de memoria que divide la memoria en bloques de tamaño fijo llamados páginas. Permite el uso eficiente de la memoria y facilita la administración de la memoria virtual","Grafos y Árboles","Estructura de datos","example.com"
"Bus","En informática, el bus es un conjunto de líneas que se utilizan para transferir datos entre diferentes componentes de una computadora, como la CPU, la memoria y los dispositivos de entrada/salida","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Bits","Son la unidad más pequeña de información en un sistema de computación, representando un valor binario de 0 o 1","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Bytes","Son grupos de 8 bits y forman la base para medir la capacidad de almacenamiento de datos en un sistema de computación","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"CISC","Es una arquitectura de CPU que permite instrucciones complejas y de longitud variable. Las CPU CISC son conocidas por su capacidad para ejecutar tareas complejas en una sola instrucción","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"RISC","Es una arquitectura de CPU que utiliza un conjunto de instrucciones más pequeño y simple, lo que permite un rendimiento más rápido y eficiente en la mayoría de las operaciones","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Pipeline","Es una técnica de diseño de CPU que divide las instrucciones en varias etapas, permitiendo que múltiples instrucciones se procesen en paralelo, lo que mejora el rendimiento de la CPU","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Transistores","Son componentes electrónicos utilizados para amplificar y conmutar señales eléctricas. Son los bloques básicos de los circuitos electrónicos y se utilizan en la construcción de CPUs y otros componentes electrónicos.","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Compuerta lógica","Es un bloque de construcción fundamental de los circuitos digitales que realiza operaciones lógicas (como AND, OR, XOR, NOT) en señales binarias (0 o 1)","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Compuerta AND","Es una compuerta lógica que produce una salida de 1 solo cuando todas las entradas son 1","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Compuerta OR","Es una compuerta lógica que produce una salida de 1 cuando al menos una de las entradas es 1","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Compuerta XOR","Es una compuerta lógica que produce una salida de 1 cuando las entradas son diferentes (1 y 0, o 0 y 1)","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Compuerta NOT","Es una compuerta lógica que invierte la entrada, es decir, produce una salida de 1 cuando la entrada es 0, y viceversa","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Input","Es la información o datos que se envían a un sistema de computación desde dispositivos de entrada, como teclados, mouse, micrófonos, etc","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Output","Es la información o resultados que un sistema de computación envía a dispositivos de salida, como pantallas, impresoras, altavoces, etc","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Wires","Son cables utilizados para transmitir señales eléctricas o datos entre diferentes componentes de un sistema de computación o circuito electrónico","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Cables","Son conjuntos de wires que se agrupan y protegen para formar conexiones más organizadas y seguras en sistemas de computación y redes","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Complemento 1","Es una forma de representar números enteros negativos en sistemas binarios. Consiste en invertir todos los bits de un número binario para obtener su valor negativo","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Complemento 2","Es otra forma de representar números enteros negativos en sistemas binarios. Se obtiene sumando 1 al complemento a 1 del número","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Instancias","En programación y computación, una instancia se refiere a un objeto específico creado a partir de una clase en la programación orientada a objetos","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"ALU","Es una unidad en la CPU que realiza operaciones aritméticas y lógicas en datos binarios","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Arithmetic Logic Unit","Es una unidad en la CPU que realiza operaciones aritméticas y lógicas en datos binarios","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Adder","Es un circuito digital que realiza la suma de dos números binarios","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Half Adder","Es un circuito combinacional que realiza la suma de dos bits binarios y produce la suma y el acarreo","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Full Adder","Es un circuito combinacional que realiza la suma de tres bits binarios (dos bits de entrada y un acarreo de entrada) y produce la suma y el acarreo de salida","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Carry Ripple Adder","Es un tipo de sumador que utiliza una cadena de sumadores de un solo bit para sumar números binarios de varios bits","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Carry Skip Adder","Es un tipo de sumador que utiliza compuertas lógicas para reducir la propagación de acarreos en la suma de números binarios","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Carry Lookahead Adder","Es un tipo de sumador que utiliza compuertas lógicas adicionales para calcular los acarreos de manera más eficiente","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Reloj","Es una señal periódica utilizada para sincronizar las operaciones en un sistema de computación","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Señal de reloj","Es la señal que se utiliza para marcar el inicio de un ciclo de reloj en un sistema de computación","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Clock","Es una señal periódica utilizada para sincronizar las operaciones en un sistema de computación","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Mux","Es un circuito digital que selecciona una de varias entradas y la enruta a una salida única basándose en señales de control","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Multiplexor","Es un circuito digital que selecciona una de varias entradas y la enruta a una salida única basándose en señales de control","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Compuerta NAND","Es una compuerta lógica que produce una salida de 0 solo cuando ambas entradas son 1; en todos los demás casos, produce una salida de 1","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Registros","Son componentes de almacenamiento de alta velocidad en la CPU que se utilizan para guardar datos temporales y resultados de operaciones","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Ram","Es una forma de memoria volátil utilizada para almacenar datos y programas en una computadora","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Rom","Es una forma de memoria no volátil que se utiliza para almacenar datos que no cambian, como el firmware del sistema","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Periodo","Es el tiempo que tarda una señal periódica, como la señal de reloj, en completar un ciclo completo","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Duty Cycle","Es la relación entre el tiempo en que una señal está activa (encendida) y el tiempo total de un ciclo","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Ciclo de reloj","Es el período de tiempo entre dos transiciones de la señal de reloj, que determina la velocidad de la CPU","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Microprocesador","Es una unidad central de procesamiento (CPU) contenida en un solo chip, que contiene ALU, registros y control de instrucciones","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Signed Byte","Es un número entero representado en formato binario con signo, utilizando el bit más significativo para indicar el signo","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Unsigned Byte","Es un número entero representado en formato binario sin signo, lo que significa que todos los bits se utilizan para representar el valor absoluto del número","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Signed Word","Es un número entero de mayor tamaño que un byte representado en formato binario con signo","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Unsigned Word","Es un número entero de mayor tamaño que un byte representado en formato binario sin signo","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Signed double word","Es un número entero de mayor tamaño que una word representado en formato binario con signo","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Unsigned double word","Es un número entero de mayor tamaño que una word representado en formato binario sin signo","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Binario","Es un sistema de numeración con base 2 que utiliza solo dos símbolos, 0 y 1, para representar números","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Hexadecimal","Es un sistema de numeración con base 16 que utiliza 16 símbolos (0-9 y A-F) para representar números","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Octal","Es un sistema de numeración con base 8 que utiliza 8 símbolos (0-7) para representar números","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Decimal","Es un sistema de numeración con base 10 que utiliza 10 símbolos (0-9) para representar números","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"IEEE 32-bit floating point","Es un formato de representación de números reales de 32 bits según las normas del Instituto de Ingenieros Eléctricos y Electrónicos (IEEE)","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"ASCII","Es un estándar que asigna códigos numéricos a caracteres alfabéticos y otros símbolos para su representación en sistemas de computación","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"ISA","Es el conjunto de instrucciones que una arquitectura de computadora puede ejecutar","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Set de instrucciones","Es el conjunto completo de operaciones y comandos que una CPU puede ejecutar","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Modo de direccionamiento","Es la forma en que se especifican las direcciones de memoria en el código de programación","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Ciclo de intrucción","Es el proceso de búsqueda, decodificación y ejecución de una instrucción por parte de la CPU durante un ciclo de reloj","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Little endian","Es una forma de organizar los bytes en la memoria de una computadora, donde el byte menos significativo se almacena en la posición de memoria más baja","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Big endian","Es otra forma de organizar los bytes en la memoria de una computadora, donde el byte más significativo se almacena en la posición de memoria más baja","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Benchmark","Es una prueba o evaluación que se realiza para medir el rendimiento de un sistema, dispositivo o programa en comparación con otros","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"Throughput","Es la cantidad de trabajo realizado por un sistema en un período de tiempo determinado","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
"DRAM","Es un tipo de memoria volátil utilizada en computadoras para almacenar datos y programas que necesitan un acceso rápido","Arquitectura de Computadoras","Arquitectura de computadoras","example.com"
