concept,definition,labels,sources
Protocolo TCP/IP,Conjunto de protocolos de comunicación que se utiliza para interconectar redes y dispositivos en Internet.,Arquitecturas de Red y Almacenamiento,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
VPN,"Red Privada Virtual: Extiende una red privada a través de una red pública, permitiendo a los usuarios enviar y recibir datos como si estuvieran conectados directamente a la red privada.",Arquitecturas de Red y Almacenamiento,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Banda Ancha,Tipo de conexión a Internet de alta velocidad que proporciona una transmisión de datos rápida.,Arquitecturas de Red y Almacenamiento,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Hub,Dispositivo de red simple que conecta múltiples dispositivos en una LAN y retransmite todos los datos que recibe a todos los dispositivos conectados.,Arquitecturas de Red y Almacenamiento,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Protocolo HTTP,Protocolo de Transferencia de Hipertexto: Protocolo utilizado para transmitir y recibir información en la World Wide Web.,Arquitecturas de Red y Almacenamiento,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Dirección IP,Identificador único para un dispositivo en una red que utiliza el Protocolo de Internet para la comunicación.,Arquitecturas de Red y Almacenamiento,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Subneteo,Proceso de dividir una red IP en subredes más pequeñas para mejorar el rendimiento y la seguridad.,Arquitecturas de Red y Almacenamiento,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Red Inalámbrica (Wi Fi),"Tecnología que permite conectar dispositivos a una red local sin necesidad de cables físicos, utilizando ondas de radio.",Arquitecturas de Red y Almacenamiento,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
DHCP,Protocolo de Configuración Dinámica de Host: Protocolo que permite a los dispositivos de una red obtener automáticamente una dirección IP y otros parámetros relacionados.,Arquitecturas de Red y Almacenamiento,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
DNS,Sistema de Nombres de Dominio: Sistema que traduce los nombres de dominio legibles por humanos a direcciones IP.,Arquitecturas de Red y Almacenamiento,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Red Metro Ethernet,Red basada en la tecnología Ethernet que conecta usuarios y empresas dentro de una ciudad o área metropolitana.,Arquitecturas de Red y Almacenamiento,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Red Punto a Punto,Configuración de red en la que cada computadora en la red puede actuar como cliente o servidor para las otras computadoras en la red.,Arquitecturas de Red y Almacenamiento,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Red de Área de Almacenamiento,Una red de alta velocidad que conecta bloques de almacenamiento a servidores. Permite que múltiples servidores accedan a volúmenes de almacenamiento como si fueran discos duros locales.,Arquitecturas de Red y Almacenamiento,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Token Ring,Topología de red y protocolo de comunicación en la que los dispositivos de la red acceden al medio de comunicación a través de un token o señal especial.,Arquitecturas de Red y Almacenamiento,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
FDDI,Interfaz de Datos Distribuida por Fibra: Estándar para redes de área local basado en fibra óptica.,Arquitecturas de Red y Almacenamiento,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Modem,Dispositivo que modula y demodula señales digitales para transmitirlas y recibir a través de líneas telefónicas o de comunicación.,Arquitecturas de Red y Almacenamiento,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Intranet,"Red privada basada en protocolos de Internet, pero que es accesible solo dentro de una organización y no es accesible para el público en general.",Arquitecturas de Red y Almacenamiento,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Gateway,Dispositivo o software en una red que sirve como intermediario entre redes para permitir la comunicación entre diferentes protocolos de red.,Arquitecturas de Red y Almacenamiento,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Extranet,"Una intranet que puede ser parcialmente accesada por usuarios autorizados externos, permitiendo a empresas compartir información con socios o clientes.",Arquitecturas de Red y Almacenamiento,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Proxy,"Servidor que actúa como intermediario entre el usuario y otros servidores, filtrando solicitudes para mejorar el rendimiento y la seguridad.",Arquitecturas de Red y Almacenamiento,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
NIC,Tarjeta de Interfaz de Red (Network Interface Card): Dispositivo que permite a las computadoras conectarse a una red.,Arquitecturas de Red y Almacenamiento,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Controlador RAID,Dispositivo utilizado para gestionar discos duros físicos y presentarlos al computador como unidades lógicas.,Arquitecturas de Red y Almacenamiento,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
OSI,Modelo de Interconexión de Sistemas Abiertos: Modelo conceptual que estandariza las funciones de un protocolo de telecomunicación en siete niveles o capas.,Arquitecturas de Red y Almacenamiento,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
FTP,Protocolo de Transferencia de Archivos: Protocolo estándar utilizado para transferir archivos entre computadoras en una red a través de TCP/IP.,Arquitecturas de Red y Almacenamiento,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
VLAN,Red Local Virtual: Red lógica independiente creada en switches para segmentar redes más grandes para mejorar el rendimiento y la seguridad.,Arquitecturas de Red y Almacenamiento,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Frame Relay,Servicio de retransmisión de tramas: Tecnología WAN de alta velocidad que permite la transmisión de paquetes entre dispositivos en una red.,Arquitecturas de Red y Almacenamiento,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Divide y Vencerás,"Estrategia algorítmica que descompone un problema en subproblemas más pequeños, resuelve cada subproblema y luego combina las soluciones para resolver el problema original.",Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Notación O Grande (Big O),Notación matemática que describe el límite superior del tiempo de ejecución de un algoritmo en función del tamaño de la entrada. Es una medida fundamental en el análisis de algoritmos.,Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Programación Dinámica,Técnica para resolver problemas dividiéndolos en subproblemas más pequeños y almacenando las soluciones de estos subproblemas para evitar recalculaciones.,Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Backtracking,"Método algorítmico que resuelve problemas de manera incremental, probando candidatos a soluciones y descartando aquellos que no satisfacen las restricciones del problema.",Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo Greedy (Codicioso),"Estrategia que toma la mejor elección disponible en cada paso con la esperanza de encontrar la solución global óptima. No siempre encuentra la solución óptima global, pero es eficiente.",Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Recursividad,Técnica algorítmica donde una función se llama a sí misma para resolver una instancia más pequeña del mismo problema.,Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Caso Base,"En algoritmos recursivos, es la condición que determina cuándo se debe detener la recursión.",Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Análisis Amortizado,"Técnica de análisis que determina el tiempo promedio requerido para ejecutar una serie de operaciones, asegurando que en promedio, el coste de las operaciones es pequeño, incluso si algunas operaciones en particular son costosas.",Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo Determinista,"Algoritmo que, dada una entrada particular, siempre producirá la misma salida y seguirá una secuencia predecible de pasos operativos.",Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo No Determinista,"Algoritmo que, incluso con la misma entrada, puede tener diferentes comportamientos en diferentes ejecuciones. Se utiliza en teoría para describir algoritmos que pueden adivinar soluciones.",Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Heurística,Enfoque práctico para resolver problemas donde la solución perfecta es inviable. Las heurísticas ofrecen soluciones rápidas pero no garantizan la optimalidad.,Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Análisis de Peor Caso,Evaluación del rendimiento de un algoritmo basada en la entrada más desfavorable. Esta análisis determina el tiempo máximo que tomará un algoritmo para cualquier entrada dada.,Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Análisis de Mejor Caso,Evaluación del rendimiento de un algoritmo basada en la entrada más favorable. Establece el tiempo mínimo que tomará un algoritmo para cualquier entrada.,Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Análisis de Caso Promedio,"Estima el rendimiento de un algoritmo en función de todas las posibles entradas, considerando que cada entrada es igualmente probable. Este análisis puede ser más representativo del comportamiento típico de un algoritmo en situaciones del mundo real.",Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo Iterativo,Algoritmo que repite un conjunto específico de instrucciones hasta que se cumple una condición dada.,Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo Paralelo,Algoritmo diseñado para ejecutarse en múltiples procesadores simultáneamente para resolver un problema más rápidamente.,Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
P vs NP,Problema fundamental en teoría de la computación que trata de determinar si todos los problemas para los cuales una solución puede ser verificada rápidamente (en tiempo polinómico) pueden también ser resueltos rápidamente (en tiempo polinómico).,Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo Estable,Algoritmo de ordenación que mantiene el orden relativo de registros iguales en la entrada y la salida.,Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Complejidad Espacial,Medida de la cantidad de memoria que un algoritmo necesita en relación con la longitud de la entrada.,Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo Óptimo,Algoritmo que resuelve un problema de la manera más eficiente posible en términos de tiempo y/o espacio.,Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Problema NP completo,"Clase de problemas para los cuales no se conoce ningún algoritmo que los resuelva en tiempo polinómico, pero cuya solución puede ser verificada rápidamente. Si se encontrara una solución polinómica para uno de estos, se resolvería para todos.",Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Problema NP duro,"Clase de problemas al menos tan difíciles como los problemas NP completos. No necesariamente en NP, ya que algunos problemas NP duros pueden no tener solución verificable en tiempo polinómico.",Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo Aproximado,"Algoritmo utilizado para problemas de optimización NP duros, que garantiza una solución cercana a la óptima en un tiempo razonable.",Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo Las Vegas,"Algoritmo randomizado que siempre produce una respuesta correcta, pero su tiempo de ejecución es una variable aleatoria.",Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo Monte Carlo,"Algoritmo randomizado que tiene una pequeña probabilidad de error, pero con un tiempo de ejecución determinístico o bien definido.",Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Reducción Polinómica,Transformación de un problema a otro en tiempo polinómico. Se utiliza principalmente para demostrar que un problema es NP completo al reducir otro problema ya conocido como NP completo a él.,Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo Branch and Bound,"Técnica de diseño algorítmico para problemas de optimización. Estos algoritmos dividen el problema en subproblemas y resuelven cada subproblema, optimizando mediante un proceso de ramificación y acotamiento.",Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo Online,"Algoritmo que toma decisiones basado en la información disponible en un momento dado, sin tener información sobre las entradas futuras.",Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo Offline,Algoritmo que tiene acceso a toda la información o entrada antes de comenzar la ejecución.,Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Complejidad Ciclomática,Medida métrica que indica la complejidad de un programa. Representa el número de rutas independientes a través del código fuente de un programa y se utiliza para determinar la cantidad de pruebas necesarias para una cobertura completa de pruebas.,Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo Exhaustivo,Método que explora todas las posibles soluciones a un problema para encontrar la solución óptima. A menudo es ineficiente para problemas de gran tamaño.,Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo Incremental,"Algoritmo que construye una solución pieza por pieza, agregando elementos uno a uno de manera ordenada.",Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Análisis Asintótico,Estudio del comportamiento de algoritmos en términos de crecimiento de su tiempo de ejecución y espacio con respecto al tamaño de entrada. Ignora factores constantes y términos de menor magnitud.,Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo Adaptativo,Algoritmo que cambia su comportamiento en función de la información adquirida durante su ejecución.,Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Complejidad de Peor Caso,Medida del tiempo más largo que un algoritmo puede tomar para cualquier entrada dada.,Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Complejidad de Mejor Caso,Medida del tiempo más corto que un algoritmo puede tomar para cualquier entrada dada.,Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Problema de Decisión,Tipo de problema que tiene una respuesta binaria (sí o no). Se usa comúnmente en teoría de la computación para categorizar problemas en función de su dificultad.,Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Problema de Optimización,Tipo de problema que busca la solución más optima (máxima o mínima) entre un conjunto de soluciones posibles.,Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo Híbrido,Algoritmo que combina dos o más técnicas algorítmicas para aprovechar las ventajas de cada una y superar sus respectivas desventajas.,Diseño y Análisis de Algoritmos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Complejidad Constante,"Describe un algoritmo que siempre ejecuta en el mismo tiempo (o espacio), independientemente del tamaño de la entrada. Se denota comúnmente como O(1).",Diseño y Análisis de Algoritmos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo Greedy (Voraz),"Enfoque que toma la decisión óptima local en cada paso con la esperanza de encontrar la solución global óptima. No siempre garantiza la solución óptima global, pero es eficiente.",Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Transformación y Conquista,"Técnica que transforma un problema en un problema diferente y más simple, lo resuelve y luego transforma la solución de regreso a la solución del problema original.",Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Técnica de Ramificación y Poda,Extiende el método de backtracking al descartar activamente ciertas opciones que no pueden conducir a una solución. Esto se hace mediante el cálculo de cotas que indican cuán prometedora es una opción particular.,Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Reducción,"Técnica que transforma un problema en otro problema ya conocido para el que se dispone de una solución. Se utiliza para mostrar que un problema es, al menos, tan difícil como otro problema ya conocido.",Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Metaheurística,Método de alto nivel que guía a otros algoritmos heurísticos para encontrar soluciones de calidad en problemas de optimización. Ayuda a explorar el espacio de soluciones y es útil cuando no se dispone de un algoritmo exacto o es impracticable usarlo.,Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo Genético,"Técnica de búsqueda heurística inspirada en el proceso de selección natural. Utiliza técnicas genéticas como la mutación, la cruza y la selección para generar soluciones a problemas de optimización o búsqueda.",Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Simulated Annealing (Recocido Simulado),Método probabilístico de optimización global inspirado en el proceso de recocido de materiales. Busca soluciones aproximadas en problemas donde el espacio de búsqueda es grande y se requiere una solución en un tiempo razonable.,Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo de Búsqueda Tabú,"Método de optimización que utiliza memoria para evitar revisitar soluciones previamente exploradas, y así escapar de óptimos locales.",Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Colonia de Hormigas,Técnica de optimización inspirada en el comportamiento de las hormigas al buscar rutas cortas hacia fuentes de alimento. Utiliza feromonas (información) para guiar la búsqueda.,Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Técnica de Búsqueda Local,Estrategia que comienza con una solución inicial y la mejora iterativamente al considerar soluciones vecinas. Usada en problemas de optimización.,Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Búsqueda en Profundidad (DFS),"Técnica de exploración de grafos que va tan profundo como sea posible a lo largo de cada rama antes de retroceder. Es útil para problemas que requieren explorar todas las posibles rutas, como laberintos.",Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Búsqueda en Amplitud (BFS),Técnica de exploración de grafos que explora todos los nodos de un grafo en el nivel actual antes de pasar al siguiente nivel. Es útil para encontrar la ruta más corta en un grafo no ponderado.,Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo Hill Climbing,"Técnica de optimización que comienza con una solución arbitraria a un problema y realiza iteraciones para mejorar la solución, moviéndose solo en direcciones que optimizan el costo.",Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo de Kruskal,Algoritmo utilizado para encontrar el árbol de expansión mínima de un grafo conectado y no dirigido. Funciona al seleccionar el borde más ligero que no forma un ciclo y repetir hasta que se crea un árbol de expansión.,Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo de Dijkstra,"Algoritmo utilizado para encontrar el camino más corto desde un nodo a todos los demás nodos en un grafo ponderado. Es útil en problemas de red, como el enrutamiento.",Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo de Bellman Ford,"Algoritmo que encuentra el camino más corto desde un nodo a todos los demás nodos en un grafo ponderado. A diferencia de Dijkstra, puede manejar grafos con pesos negativos, siempre que no haya ciclos negativos.",Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo de Floyd Warshall,"Algoritmo que encuentra el camino más corto entre todos los pares de nodos en un grafo ponderado. Es útil en problemas de red, especialmente cuando se necesita conocer las distancias más cortas entre todos los pares de nodos.",Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo de Prim,"Algoritmo que busca el árbol recubridor mínimo de un grafo. Comienza con un nodo arbitrario y selecciona sucesivamente el borde más corto que conecta un nodo del árbol con uno fuera del árbol, hasta que todos los nodos están en el árbol.",Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo Voraz (Greedy),Enfoque que selecciona la mejor opción disponible en cada paso sin considerar las consecuencias a largo plazo. Es útil para problemas que tienen una solución óptima que puede ser construida de manera incremental.,Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Problema del Viajante,"Problema de optimización que busca el recorrido más corto que pasa por cada ciudad una vez y regresa al punto de partida. Es NP hard, lo que significa que no se conoce un algoritmo eficiente que lo resuelva en tiempo polinomial.",Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Problema de la Mochila,Problema de optimización que busca determinar la combinación de objetos con pesos y valores dados para llenar una mochila de capacidad limitada maximizando el valor total.,Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Problema de Corte Máximo,"Problema que busca una partición de los nodos de un grafo no dirigido en dos conjuntos disjuntos, de manera que el número de aristas entre los conjuntos sea maximizado.",Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Problema de Flujo Máximo,"Problema que busca el flujo máximo en una red de flujo, es decir, la cantidad máxima de flujo que puede ser enviada desde una fuente a un sumidero sin violar las capacidades de las aristas.",Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo de Ford Fulkerson,Método iterativo que resuelve el problema de flujo máximo en una red. Funciona aumentando el flujo en caminos del grafo hasta que no se puede enviar más flujo.,Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Cifrado y Descifrado,Técnicas utilizadas en la criptografía para transformar información de manera que solo quien posea una clave específica pueda leerla (cifrado) o revertirla a su forma original (descifrado).,Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Problema de la Parada,"Problema no decidible que implica determinar, a partir de una descripción de un algoritmo y una entrada, si el algoritmo se detendrá o continuará ejecutándose indefinidamente. Es fundamental en la teoría de la computación.",Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo de Edmonds Karp,Una implementación específica del algoritmo de Ford Fulkerson para resolver el problema del flujo máximo. Es eficiente porque siempre elige el camino más corto en cada iteración.,Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Problema del Conjunto Independiente,"Busca un subconjunto de nodos en un grafo, de tamaño máximo, en el cual ningún par de nodos sea adyacente. Es un problema NP hard, lo que significa que se desconoce un algoritmo eficiente para resolverlo en todos los casos.",Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo de Hopcroft Karp,Algoritmo eficiente para encontrar un emparejamiento máximo en un grafo bipartito.,Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Problema de Coloración de Grafos,Consiste en asignar colores a los vértices de un grafo de tal manera que no existan dos vértices adyacentes con el mismo color. El objetivo es minimizar el número de colores utilizados. Es NP hard.,Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Problema del Clique,"Busca un subconjunto de nodos de un grafo que forme un clique de tamaño máximo, es decir, un conjunto en el que cada par de nodos es adyacente. Es NP hard.",Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo de Johnson,Algoritmo para encontrar caminos más cortos entre todos los pares de nodos en un grafo ponderado que puede tener pesos negativos en sus aristas pero no ciclos negativos.,Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Problema de Asignación,Busca asignar tareas a trabajadores de manera que el costo total de asignación sea mínimo. Puede ser resuelto usando el algoritmo húngaro.,Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
